Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,In_Florida
AL061900,UNNAMED,19001012,300,L,TS,29.5,-83.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1900,True
AL011901,UNNAMED,19010613,2100,L,TS,29.9,-84.6,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,True
AL041901,UNNAMED,19010810,2200,L,TS,26.3,-80.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,True
AL081901,UNNAMED,19010917,2000,L,TS,30.4,-86.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,True
AL101901,UNNAMED,19010928,300,L,TS,29.9,-84.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,True
AL011902,UNNAMED,19020614,2300,L,TS,29.8,-83.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1902,True
AL041902,UNNAMED,19021010,2100,L,TS,30.3,-87.3,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1902,True
AL031903,UNNAMED,19030911,2300,L,HU,26.1,-80.1,75,976,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1903,True
AL031903,UNNAMED,19030913,2300,L,HU,30.1,-85.6,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,1903,True
AL041904,UNNAMED,19041017,800,L,HU,25.3,-80.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1904,True
AL041904,UNNAMED,19041020,1000,L,TS,25.5,-81.2,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1904,True
AL061904,UNNAMED,19041103,1200,L,TS,30.3,-86.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1904,True
AL011906,UNNAMED,19060612,2000,L,TS,30.1,-85.6,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,True
AL021906,UNNAMED,19060617,300,L,HU,24.7,-81.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,True
AL021906,UNNAMED,19060617,800,L,HU,25.2,-80.7,75,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,1906,True
AL081906,UNNAMED,19061018,1000,L,HU,24.7,-81.1,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1906,True
AL081906,UNNAMED,19061018,1200,L,HU,25.3,-80.7,105,953,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1906,True
AL081906,UNNAMED,19061021,900,L,TS,30.0,-81.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,True
AL011907,UNNAMED,19070628,2300,L,TS,30.3,-85.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1907,True
AL031907,UNNAMED,19070928,2000,L,TS,30.1,-85.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1907,True
AL031909,UNNAMED,19090628,2000,L,TS,26.0,-80.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1909,True
AL031909,UNNAMED,19090630,1400,L,TS,30.1,-84.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1909,True
AL081909,UNNAMED,19090829,900,L,TS,26.4,-80.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1909,True
AL111909,UNNAMED,19091011,1800,L,HU,24.7,-81.0,100,957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1909,True
AL051910,UNNAMED,19101018,600,L,HU,26.5,-82.0,95,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1910,True
AL021911,UNNAMED,19110811,2200,L,HU,30.3,-87.5,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1911,True
AL011914,UNNAMED,19140917,700,L,TS,30.6,-81.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1914,True
AL011915,UNNAMED,19150801,1800,L,HU,28.7,-80.8,65,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1915,True
AL041915,UNNAMED,19150904,1100,L,HU,30.0,-85.4,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,1915,True
AL011916,UNNAMED,19160514,600,L,TS,25.1,-81.0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,True
AL071916,UNNAMED,19160825,800,L,TS,25.6,-80.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,True
AL141916,UNNAMED,19161018,1400,L,HU,30.4,-87.4,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1916,True
AL041917,UNNAMED,19170929,200,L,HU,30.4,-86.6,100,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,1917,True
AL011919,UNNAMED,19190704,1100,L,TS,30.4,-87.0,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1919,True
AL021919,UNNAMED,19190910,700,L,HU,24.6,-82.9,130,927,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1919,True
AL051920,UNNAMED,19200930,900,L,TS,28.9,-82.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1920,True
AL061921,UNNAMED,19211025,2000,L,HU,28.1,-82.8,100,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1921,True
AL051924,UNNAMED,19240915,1400,L,HU,29.7,-85.3,75,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,True
AL081924,UNNAMED,19240929,2100,L,TS,30.0,-84.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,True
AL101924,UNNAMED,19241021,100,L,HU,25.8,-81.8,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1924,True
AL041925,UNNAMED,19251201,300,L,TS,26.3,-81.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1925,True
AL011926,UNNAMED,19260728,1000,L,HU,29.0,-80.8,90,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1926,True
AL071926,UNNAMED,19260918,1200,L,HU,25.6,-80.3,125,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1926,True
AL071926,UNNAMED,19260920,2200,L,HU,30.3,-87.5,100,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1926,True
AL011928,UNNAMED,19280808,700,L,HU,27.3,-80.2,85,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1928,True
AL011928,UNNAMED,19280810,400,L,TS,30.0,-84.3,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1928,True
AL021928,UNNAMED,19280813,300,L,TS,24.7,-81.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1928,True
AL021928,UNNAMED,19280814,1400,L,TS,29.9,-84.7,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1928,True
AL041928,UNNAMED,19280917,0,L,HU,26.7,-80.0,125,929,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1928,True
AL021929,UNNAMED,19290928,1300,L,HU,25.0,-80.5,100,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1929,True
AL021929,UNNAMED,19291001,400,L,HU,30.2,-85.7,70,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1929,True
AL021930,UNNAMED,19300909,900,L,TS,27.5,-82.7,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1930,True
AL031932,UNNAMED,19320830,400,L,TS,25.3,-80.3,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1932,True
AL061932,UNNAMED,19320915,400,L,TS,30.0,-83.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1932,True
AL051933,UNNAMED,19330730,1600,L,HU,27.1,-80.1,65,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,1933,True
AL111933,UNNAMED,19330904,500,L,HU,26.9,-80.1,110,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1933,True
AL111933,UNNAMED,19330905,400,L,TS,29.2,-82.9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1933,True
AL111934,UNNAMED,19341006,100,L,TS,30.3,-87.4,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1934,True
AL031935,UNNAMED,19350903,200,L,HU,24.8,-80.8,160,892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,1935,True
AL031935,UNNAMED,19350904,2200,L,HU,29.6,-83.4,85,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1935,True
AL071935,UNNAMED,19351104,1800,L,HU,25.9,-80.1,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1935,True
AL011936,UNNAMED,19360615,800,L,TS,25.9,-81.7,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,True
AL051936,UNNAMED,19360729,200,L,TS,25.3,-80.3,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,True
AL051936,UNNAMED,19360731,1400,L,HU,30.4,-86.6,90,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1936,True
AL091936,UNNAMED,19360821,2200,L,TS,28.9,-80.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,True
AL011937,UNNAMED,19370729,2200,L,TS,28.1,-82.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,True
AL031937,UNNAMED,19370830,1400,L,TS,29.1,-80.9,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,True
AL071937,UNNAMED,19370920,1600,L,TS,29.7,-85.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,True
AL011939,UNNAMED,19390616,1300,L,TS,30.3,-87.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,True
AL021939,UNNAMED,19390811,2300,L,HU,27.2,-80.2,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,True
AL021939,UNNAMED,19390813,600,L,HU,30.4,-86.4,65,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,True
AL051941,UNNAMED,19411006,1000,L,HU,25.5,-80.2,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1941,True
AL051941,UNNAMED,19411006,1100,L,HU,25.5,-80.3,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1941,True
AL051941,UNNAMED,19411007,900,L,HU,29.9,-84.6,80,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1941,True
AL061941,UNNAMED,19411020,1400,L,TS,29.0,-83.0,40,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1941,True
AL131944,UNNAMED,19441018,2100,L,HU,24.6,-82.9,105,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1944,True
AL131944,UNNAMED,19441019,700,L,HU,27.2,-82.5,90,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,1944,True
AL011945,UNNAMED,19450624,800,L,HU,28.6,-82.7,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1945,True
AL071945,UNNAMED,19450905,0,L,TS,26.5,-82.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1945,True
AL091945,UNNAMED,19450915,1930,L,HU,25.3,-80.3,115,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1945,True
AL091945,UNNAMED,19450915,2000,L,HU,25.4,-80.4,115,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1945,True
AL061946,UNNAMED,19461008,200,L,HU,27.5,-82.6,75,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,1946,True
AL071946,UNNAMED,19461101,2200,L,TS,26.6,-80.1,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1946,True
AL041947,UNNAMED,19470917,1630,L,HU,26.1,-80.1,115,943,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1947,True
AL061947,UNNAMED,19470923,2200,L,TS,28.9,-82.7,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,True
AL071947,UNNAMED,19471007,400,L,TS,30.8,-81.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,True
AL091947,UNNAMED,19471012,200,L,HU,25.4,-81.2,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1947,True
AL021948,UNNAMED,19480709,700,L,TS,30.3,-87.3,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1948,True
AL081948,UNNAMED,19480921,1700,L,HU,24.6,-81.6,105,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1948,True
AL081948,UNNAMED,19480922,500,L,HU,25.8,-81.3,115,940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1948,True
AL091948,UNNAMED,19481005,1800,L,HU,24.7,-81.2,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1948,True
AL091948,UNNAMED,19481005,2000,L,HU,25.1,-80.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1948,True
AL021949,UNNAMED,19490826,2300,L,HU,26.6,-80.0,115,954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1949,True
AL051950,EASY,19500905,1700,L,HU,29.1,-82.8,105,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1950,True
AL051950,EASY,19500906,400,L,HU,28.5,-82.7,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1950,True
AL111950,KING,19501018,500,L,HU,25.7,-80.2,115,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,1950,True
AL131950,LOVE,19501021,1100,L,TS,29.7,-83.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1950,True
AL091951,HOW,19511002,1000,L,TS,26.7,-82.3,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951,True
AL011953,ALICE,19530606,1700,L,TS,30.3,-85.9,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
