Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,In_Florida
AL081953,UNNAMED,19530920,1700,L,TS,29.0,-82.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL091953,FLORENCE,19530926,1500,L,HU,30.3,-86.2,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL121953,HAZEL,19531009,1500,L,HU,26.7,-82.2,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL121953,HAZEL,19531009,1600,L,HU,26.7,-82.1,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL071956,FLOSSY,19560925,0,L,HU,30.4,-86.4,80,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1956,True
AL111956,UNNAMED,19561015,2100,L,TS,25.2,-80.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1956,True
AL011957,UNNAMED,19570609,30,L,TS,30.1,-84.2,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1957,True
AL051957,DEBBIE,19570908,1700,L,TS,30.3,-86.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1957,True
AL031959,UNNAMED,19590618,800,L,TS,28.0,-82.8,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL101959,IRENE,19591008,1000,L,TS,30.3,-87.6,40,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL111959,JUDITH,19591018,1400,L,TS,26.7,-82.3,55,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL031960,BRENDA,19600729,600,L,TS,29.7,-83.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1960,True
AL051960,DONNA,19600910,700,L,HU,24.8,-80.9,125,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1960,True
AL051960,DONNA,19600910,1600,L,HU,25.9,-81.6,105,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1960,True
AL051964,CLEO,19640827,800,L,HU,25.8,-80.1,95,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1964,True
AL061964,DORA,19640910,600,L,HU,29.9,-81.3,95,966,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,1964,True
AL111964,ISBELL,19641014,2100,L,HU,25.8,-81.4,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1964,True
AL011965,UNNAMED,19650615,1100,L,TS,30.4,-86.9,50,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1965,True
AL031965,BETSY,19650908,1100,L,HU,25.0,-80.5,100,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1965,True
AL091965,UNNAMED,19651018,1500,L,TS,29.4,-81.1,55,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1965,True
AL011966,ALMA,19660609,2100,L,HU,30.1,-84.2,75,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1966,True
AL091966,INEZ,19661004,1800,L,HU,25.0,-80.5,85,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1966,True
AL091966,INEZ,19661004,2300,L,HU,24.7,-81.3,85,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1966,True
AL091966,INEZ,19661005,200,L,HU,24.6,-81.8,85,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1966,True
AL121966,UNNAMED,19660701,2200,L,TS,29.3,-83.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1966,True
AL011968,ABBY,19680604,1200,L,TS,26.7,-82.3,55,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968,True
AL011968,ABBY,19680606,2200,L,TS,30.4,-81.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968,True
AL141968,GLADYS,19681019,400,L,HU,28.7,-82.7,85,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1968,True
AL231969,UNNAMED,19691001,1600,L,SS,30.4,-86.8,40,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1969,True
AL241969,JENNY,19691002,2100,L,TS,26.1,-81.8,40,1001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1969,True
AL021970,BECKY,19700722,1000,L,TS,29.7,-85.3,40,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1970,True
AL041983,BARRY,19830825,1100,L,TD,27.9,-80.6,30,1013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1983,True
AL111985,ISABEL,19851010,2100,L,TS,30.6,-81.4,35,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1985,True
AL131985,KATE,19851121,2230,L,HU,30.0,-85.4,85,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1985,True
AL131987,FLOYD,19871012,2100,L,HU,25.1,-80.5,65,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1987,True
AL121988,KEITH,19881123,700,L,TS,27.3,-82.6,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1988,True
AL041992,ANDREW,19920824,840,L,HU,25.5,-80.2,145,926,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1992,True
AL041992,ANDREW,19920824,905,L,HU,25.5,-80.3,145,922,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1992,True
AL011994,ALBERTO,19940703,1500,L,TS,30.4,-86.5,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL031994,BERYL,19940816,0,L,TS,30.0,-85.6,50,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941115,1300,L,TS,24.6,-81.7,45,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941116,1300,L,TS,26.5,-81.9,45,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941121,300,L,TD,28.5,-80.6,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL011995,ALLISON,19950605,1400,L,TS,29.9,-84.4,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL011995,ALLISON,19950605,1500,L,TS,30.1,-84.2,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL051995,ERIN,19950802,615,L,HU,27.7,-80.3,75,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,1995,True
AL051995,ERIN,19950803,1600,L,HU,30.3,-87.2,75,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1995,True
AL111995,JERRY,19950823,1800,L,TS,27.0,-80.2,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL171995,OPAL,19951004,2200,L,HU,30.3,-87.1,100,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,1995,True
AL101996,JOSEPHINE,19961008,330,L,TS,30.0,-83.9,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1996,True
AL051998,EARL,19980903,600,L,HU,30.1,-85.7,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,1998,True
AL071998,GEORGES,19980925,1530,L,HU,24.5,-81.8,90,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,1998,True
AL131998,MITCH,19981105,1100,L,TS,26.2,-81.9,55,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1998,True
AL101999,HARVEY,19990921,1700,L,TS,25.9,-81.7,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1999,True
AL131999,IRENE,19991015,1300,L,HU,24.6,-81.6,65,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1999,True
AL131999,IRENE,19991015,2000,L,HU,25.3,-81.1,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,1999,True
AL112000,GORDON,20000918,300,L,TS,29.3,-83.2,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000,True
AL122000,HELENE,20000922,1200,L,TS,30.5,-86.6,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000,True
AL032001,BARRY,20010806,500,L,TS,30.4,-86.3,60,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001,True
AL082001,GABRIELLE,20010914,1200,L,TS,27.1,-82.6,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001,True
AL052002,EDOUARD,20020905,45,L,TS,29.4,-81.1,35,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002,True
AL122003,HENRI,20030906,900,L,TD,27.9,-82.8,30,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2003,True
AL022004,BONNIE,20040812,1400,L,TS,29.6,-85.1,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2004,True
AL032004,CHARLEY,20040813,1945,L,HU,26.6,-82.2,130,941,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,2004,True
AL032004,CHARLEY,20040813,2045,L,HU,26.9,-82.1,125,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,2004,True
AL062004,FRANCES,20040905,430,L,HU,27.2,-80.2,90,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,2004,True
AL062004,FRANCES,20040906,1800,L,TS,30.1,-84.0,50,982,60,90,90,0,25,0,0,25,0,0,0,0,-999,2004,True
AL112004,JEANNE,20040926,400,L,HU,27.2,-80.2,105,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,2004,True
AL012005,ARLENE,20050611,1900,L,TS,30.3,-87.5,50,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2005,True
AL042005,DENNIS,20050710,1930,L,HU,30.4,-87.1,105,946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,2005,True
AL122005,KATRINA,20050825,2230,L,HU,26.0,-80.1,70,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,2005,True
AL222005,TAMMY,20051005,2300,L,TS,30.4,-81.4,45,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2005,True
AL252005,WILMA,20051024,1030,L,HU,25.9,-81.7,105,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,2005,True
AL012006,ALBERTO,20060613,1630,L,TS,29.9,-83.7,40,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2006,True
AL062006,ERNESTO,20060830,300,L,TS,24.9,-80.6,40,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2006,True
AL062006,ERNESTO,20060830,500,L,TS,25.2,-80.7,40,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2006,True
AL022007,BARRY,20070602,1400,L,TD,27.5,-82.7,30,1000,0,0,0,0,0,0,0,0,0,0,0,0,-999,2007,True
AL102007,TEN,20070922,0,L,TD,30.4,-86.7,25,1006,0,0,0,0,0,0,0,0,0,0,0,0,-999,2007,True
AL062008,FAY,20080818,2030,L,TS,24.5,-81.8,50,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2008,True
AL062008,FAY,20080819,845,L,TS,25.9,-81.6,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2008,True
AL062008,FAY,20080821,1900,L,TS,29.3,-81.1,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2008,True
AL062008,FAY,20080823,615,L,TS,29.8,-84.7,45,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2008,True
AL042009,CLAUDETTE,20090817,530,L,TS,30.4,-86.5,40,1005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2009,True
AL032010,BONNIE,20100723,1430,L,TS,25.4,-80.2,35,1007,75,40,0,40,0,0,0,0,0,0,0,0,-999,2010,True
AL022012,BERYL,20120528,410,L,TS,30.2,-81.4,55,994,100,100,20,80,40,0,0,30,0,0,0,0,-999,2012,True
AL042012,DEBBY,20120626,2100,L,TS,29.3,-83.2,35,995,50,150,0,30,0,0,0,0,0,0,0,0,-999,2012,True
AL012013,ANDREA,20130606,2200,L,TS,29.5,-83.4,50,992,80,120,60,60,30,30,0,0,0,0,0,0,-999,2013,True
AL032016,COLIN,20160607,200,L,TS,29.8,-83.6,45,1001,100,200,0,0,0,0,0,0,0,0,0,0,-999,2016,True
AL092016,HERMINE,20160902,530,L,HU,30.1,-84.1,70,981,130,150,60,60,70,110,40,30,30,40,30,0,20,2016,True
AL112016,JULIA,20160913,600,L,TD,27.3,-80.2,30,1010,0,0,0,0,0,0,0,0,0,0,0,0,-999,2016,True
AL062017,EMILY,20170731,1445,L,TS,27.5,-82.7,50,1001,20,50,40,0,0,20,20,0,0,0,0,0,-999,2017,True
AL112017,IRMA,20170910,1300,L,HU,24.7,-81.5,115,931,270,180,140,210,120,120,80,110,70,60,30,50,10,2017,True
AL112017,IRMA,20170910,1930,L,HU,25.9,-81.7,100,936,330,190,140,220,130,130,80,110,70,60,30,50,15,2017,True
AL012018,ALBERTO,20180528,2100,L,TS,30.3,-86.0,40,992,80,60,40,60,0,0,0,0,0,0,0,0,-999,2018,True
AL072018,GORDON,20180903,1115,L,TS,25.0,-80.5,45,1006,40,40,0,0,0,0,0,0,0,0,0,0,-999,2018,True
AL072018,GORDON,20180903,1315,L,TS,25.2,-80.9,45,1006,40,40,0,0,0,0,0,0,0,0,0,0,-999,2018,True
AL142018,MICHAEL,20181010,1730,L,HU,30.0,-85.5,140,919,90,140,100,80,60,80,50,50,35,35,25,25,10,2018,True
AL192020,SALLY,20200912,600,L,TD,25.6,-80.2,30,1003,0,0,0,0,0,0,0,0,0,0,0,0,-999,2020,True
AL292020,ETA,20201109,400,L,TS,24.9,-80.7,55,993,220,100,30,140,40,40,0,30,0,0,0,0,-999,2020,True
AL292020,ETA,20201112,920,L,TS,29.2,-82.9,45,996,60,100,40,60,0,0,0,0,0,0,0,0,-999,2020,True
AL052021,ELSA,20210707,1430,L,TS,29.8,-83.5,55,1000,70,80,0,50,30,30,0,0,0,0,0,0,25,2021,True
AL062021,FRED,20210816,1900,L,TS,29.7,-85.4,55,991,100,100,30,40,50,50,0,20,0,0,0,0,30,2021,True
AL132021,MINDY,20210909,115,L,TS,29.7,-85.1,50,1000,0,40,0,0,0,30,0,0,0,0,0,0,30,2021,True
AL092022,IAN,20220928,200,L,HU,24.6,-82.9,110,952,120,120,100,120,60,60,50,60,35,35,20,20,20,2022,True
AL092022,IAN,20220928,1905,L,HU,26.7,-82.2,130,941,130,150,100,150,50,60,70,80,30,40,30,45,20,2022,True
AL092022,IAN,20220928,2035,L,HU,26.8,-82.0,125,945,130,150,100,150,50,60,70,80,30,40,30,45,20,2022,True
AL172022,NICOLE,20221110,745,L,HU,27.6,-80.3,65,980,390,90,180,300,80,30,20,80,20,20,0,0,20,2022,True
AL172022,NICOLE,20221110,1900,L,TS,29.2,-83.0,40,989,200,60,100,130,0,0,0,0,0,0,0,0,70,2022,True
AL172022,NICOLE,20221111,0,L,TS,30.1,-84.0,35,992,200,60,100,100,0,0,0,0,0,0,0,0,70,2022,True
AL102023,IDALIA,20230830,1145,L,HU,29.9,-83.6,100,950,130,180,50,60,60,50,30,40,20,20,15,10,10,2023,True
